ID,What is the rating of the news?,Any visual data required to judge the verdict?,Does the news disseminator know that the news is false?,"If no (Misinformation), how does the disseminator misunderstand the news?","If yes (Disinformation), how was the news created?",What is the purpose of the false news?,What is the indicator clue for the purpose?,Any hidden Context?,To what extent is the news harmful to society?,Category of harm?
0,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
1,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇది వారి లోగోను వాడి తప్పుడు కథనంతో ఎడిట్ చేస్తూ షేర్ చేసిన ఫోటో,దేవాలయాలలో హిందువులు పాదరక్షలు ధరించరు మరియు వారు బొట్టు పెట్టుకుంటారు,2,Threat to honor and trust in people and companies
2,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,No purpose,None,None,1,Harmless
3,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,శ్రీనగర్‌లోని క్లాక్ టవర్‌పై శ్రీరాముడి చిత్రాలు ప్రదర్శించినట్టు ఎలాంటి రిపోర్ట్స్ లేవు.,అయోధ్య రామమందిరాన్ని నరేంద్ర మోదీ ప్రభుత్వంలో నిర్మించారు,1,Harmless
4,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
5,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,పిలిచినా పిలవలేదు అని రాసారు,అయోధ్య రామమందిరాన్ని నరేంద్ర మోదీ ప్రభుత్వంలో నిర్మించారు,1,Threat to correct understanding of politics and social events
6,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,None,None,1,Harmless
7,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,1,Harmless
8,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,ఇది వారి లోగోను వాడి తప్పుడు కథనంతో ఎడిట్ చేస్తూ షేర్ చేసిన ఫోటో,jr ntr అసలు వారసుడు,1,Harmless
9,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,No purpose,None,None,1,Harmless
10,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,వార్త వాస్తవం కాదని KSEB తెలిపింది,None,1,Threat to correct understanding of politics and social events
