ID,What is the rating of the news?,Any visual data required to judge the verdict?,To what extent is the news harmful to society?,Category of harm?
0,FALSE,Textual data is enough,1,Harmless
1,FALSE,Visual data required,2,Threat to honor and trust in people and companies
2,FALSE,Visual data required,1,Harmless
3,half true & half false,Visual data required,1,Harmless
4,FALSE,Visual data required,1,Harmless
5,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
6,half true & half false,Textual data is enough,1,Harmless
7,FALSE,Textual data is enough,1,Harmless
8,FALSE,Textual data is enough,1,Harmless
9,FALSE,Textual data is enough,1,Harmless
10,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
11,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
12,FALSE,Textual data is enough,1,Threat to honor and trust in people and companies
13,FALSE,Textual data is enough,1,Harmless
14,half true & half false,Textual data is enough,3,Prejudice against country and race
15,half true & half false,Visual data required,2,Confusion and anxiety about society
16,FALSE,Visual data required,1,Harmless
17,half true & half false,Textual data is enough,1,Harmless
18,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
19,FALSE,Visual data required,1,Harmless
20,FALSE,Textual data is enough,2,Threat to correct understanding of politics and social events
21,FALSE,Textual data is enough,2,Threat to correct understanding of politics and social events
22,FALSE,Visual data required,1,Harmless
23,FALSE,Visual data required,1,Harmless
24,FALSE,Visual data required,1,Harmless
25,FALSE,Textual data is enough,1,Threat to honor and trust in people and companies
26,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
27,FALSE,Textual data is enough,3,Threat to honor and trust in people and companies
28,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
29,half true & half false,Textual data is enough,2,Threat to correct understanding of politics and social events
30,half true & half false,Textual data is enough,1,Threat to correct understanding of politics and social events
31,half true & half false,Textual data is enough,2,Threat to correct understanding of politics and social events
32,FALSE,Textual data is enough,1,Health
33,FALSE,Visual data required,1,Harmless
34,half true & half false,Textual data is enough,1,Harmless
35,FALSE,Visual data required,1,Threat to correct understanding of politics and social events
36,FALSE,Visual data required,1,Threat to correct understanding of politics and social events
37,FALSE,Visual data required,1,Harmless
38,FALSE,Textual data is enough,1,Conspiracy Theory
39,half true & half false,Textual data is enough,1,Harmless
40,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
41,half true & half false,Textual data is enough,1,Threat to correct understanding of politics and social events
42,half true & half false,Textual data is enough,2,Threat to correct understanding of politics and social events
43,FALSE,Textual data is enough,1,Harmless
44,FALSE,Textual data is enough,2,Threat to honor and trust in people and companies
45,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
46,FALSE,Textual data is enough,2,Conspiracy Theory
47,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
48,half true & half false,Textual data is enough,1,Harmless
49,FALSE,Textual data is enough,2,Threat to honor and trust in people and companies
50,half true & half false,Visual data required,1,Threat to correct understanding of politics and social events
51,FALSE,Textual data is enough,2,Prejudice against country and race
52,half true & half false,Textual data is enough,1,Harmless
53,FALSE,Visual data required,1,Harmless
54,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
55,half true & half false,Visual data required,1,Harmless
56,FALSE,Textual data is enough,2,Threat to correct understanding of politics and social events
57,half true & half false,Textual data is enough,2,Threat to correct understanding of politics and social events
58,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
59,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
60,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
61,FALSE,Textual data is enough,1,Harmless
62,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
63,FALSE,Visual data required,2,Conspiracy Theory
64,FALSE,Visual data required,2,Confusion and anxiety about society
65,FALSE,Visual data required,2,Confusion and anxiety about society
66,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
67,half true & half false,Textual data is enough,1,Threat to correct understanding of politics and social events
68,FALSE,Textual data is enough,1,Harmless
69,half true & half false,Visual data required,1,Threat to correct understanding of politics and social events
70,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
71,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
72,FALSE,Visual data required,2,Threat to correct understanding of politics and social events
73,FALSE,Visual data required,1,Harmless
74,FALSE,Visual data required,1,Harmless
75,FALSE,Textual data is enough,1,Threat to honor and trust in people and companies
76,FALSE,Visual data required,1,Threat to honor and trust in people and companies
77,FALSE,Textual data is enough,1,Conspiracy Theory
78,FALSE,Textual data is enough,1,Threat to correct understanding of politics and social events
79,FALSE,Visual data required,2,Threat to honor and trust in people and companies
80,FALSE,Visual data required,1,Harmless
